                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.266,                 3.4899,                 4.2796,                0.00441,                0.90598,                0.04287,                0.01149,                 3.6767,                 3.5663,                 4.1582,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.3647,                 3.4181,                 4.2512,                0.00442,                0.91453,                   0.05,                 0.0116,                 3.6717,                 3.5589,                 4.1546,             0.00021456,             0.00021456,             0.00021456
                      3,                 3.2284,                 3.3487,                 4.1943,                0.00449,                0.93162,                 0.0431,                0.01069,                 3.6625,                 3.5481,                 4.1475,             0.00032317,             0.00032317,             0.00032317
                      4,                 3.1808,                 3.1472,                 4.1164,                0.00437,                0.90598,                0.05938,                0.01333,                 3.6477,                 3.5303,                 4.1376,             0.00042585,             0.00042585,             0.00042585
                      5,                 3.0808,                 3.2292,                 4.0652,                0.00433,                0.91453,                0.11534,                0.02685,                 3.6324,                 3.5015,                 4.1263,             0.00052258,             0.00052258,             0.00052258
                      6,                  2.912,                 3.2018,                 3.9836,                0.00429,                0.91453,                0.03202,                0.00841,                  3.702,                 3.5108,                 4.1631,             0.00061337,             0.00061337,             0.00061337
                      7,                 2.8558,                 3.0634,                 3.9245,                0.00429,                0.90598,                0.04148,                0.01017,                 3.7724,                 3.5191,                 4.2001,             0.00069823,             0.00069823,             0.00069823
                      8,                 2.7832,                 2.9737,                 3.8024,                 0.0044,                0.92308,                0.02534,                0.00705,                  4.035,                 3.6307,                 4.4024,             0.00077715,             0.00077715,             0.00077715
                      9,                 2.7776,                 2.9164,                  3.707,                 0.0043,                0.89744,                0.03039,                 0.0078,                 4.2111,                 3.6915,                 4.5932,             0.00085012,             0.00085012,             0.00085012
                     10,                 2.8167,                 2.8742,                 3.6449,                0.00422,                0.88034,                0.05072,                0.01252,                 4.3522,                 3.7275,                 4.7749,             0.00091716,             0.00091716,             0.00091716
                     11,                 2.6467,                 2.8005,                 3.5515,                0.00432,                0.88889,                0.04954,                0.01188,                 4.3857,                 3.7346,                 4.8039,             0.00097825,             0.00097825,             0.00097825
                     12,                 2.6543,                 2.7135,                 3.4496,                0.00431,                0.89744,                0.04546,                0.01167,                 4.2737,                 3.7313,                 4.6503,              0.0010334,              0.0010334,              0.0010334
                     13,                 2.7233,                 2.7885,                 3.4683,                0.00443,                0.88889,                0.04945,                0.01184,                  4.506,                  3.756,                 4.9471,              0.0010826,              0.0010826,              0.0010826
                     14,                 2.6816,                 2.7428,                 3.4078,                0.00411,                0.83761,                0.07062,                0.01385,                 4.5506,                 3.5581,                 5.1214,              0.0011259,              0.0011259,              0.0011259
                     15,                 2.5309,                 2.5318,                 3.2726,                0.00403,                0.81197,                0.08424,                0.01578,                 4.5424,                 3.5448,                 5.1105,              0.0011632,              0.0011632,              0.0011632
                     16,                 2.5449,                 2.6572,                 3.2936,                0.00434,                0.87179,                0.07887,                0.01797,                 4.5141,                 3.6307,                 5.0351,              0.0011946,              0.0011946,              0.0011946
                     17,                 2.5005,                  2.562,                  3.254,                0.00413,                0.82906,                0.09261,                0.02089,                 4.4975,                 3.5071,                  4.987,               0.001208,               0.001208,               0.001208
                     18,                 2.4574,                 2.4672,                 3.1855,                0.00429,                 0.8547,                0.04575,                 0.0097,                  4.362,                 3.4311,                 4.7817,               0.001208,               0.001208,               0.001208
                     19,                 2.4857,                 2.4178,                 3.1276,                0.00438,                0.88034,                0.03383,                0.00755,                 4.3258,                 3.4829,                  4.742,              0.0011585,              0.0011585,              0.0011585
                     20,                 2.5137,                 2.4759,                 3.1593,                0.03263,                0.04274,                 0.0213,                0.00621,                 3.8537,                 3.5591,                 4.3029,               0.001109,               0.001109,               0.001109
                     21,                 2.5601,                 2.5069,                 3.1981,                0.14382,                0.05128,                 0.0364,                0.00919,                 3.2925,                 3.4504,                 3.8399,              0.0010595,              0.0010595,              0.0010595
                     22,                  2.423,                 2.3804,                 3.1362,                0.06342,                0.16239,                0.04276,                0.01095,                  2.847,                 3.4477,                 3.4629,                0.00101,                0.00101,                0.00101
                     23,                 2.4951,                 2.4064,                 3.1495,                0.10631,                 0.1453,                0.05148,                0.01382,                 2.7599,                 3.5806,                 3.4142,              0.0009605,              0.0009605,              0.0009605
                     24,                 2.4231,                 2.3284,                 3.0545,                0.41395,                0.23932,                0.23944,                0.07565,                 2.6744,                 3.3697,                 3.2952,               0.000911,               0.000911,               0.000911
                     25,                 2.3491,                  2.274,                 3.0305,                0.36402,                0.26496,                0.26343,                0.08445,                 2.6803,                 3.2107,                 3.2587,              0.0008615,              0.0008615,              0.0008615
                     26,                 2.3489,                 2.3814,                 3.0433,                0.48521,                0.31624,                0.35814,                0.11661,                 2.4679,                 2.7098,                 3.1231,               0.000812,               0.000812,               0.000812
                     27,                 2.3737,                 2.2755,                 2.9829,                0.37044,                0.44444,                0.39102,                   0.14,                 2.4714,                 2.6119,                 3.1046,              0.0007625,              0.0007625,              0.0007625
                     28,                 2.2785,                 2.1785,                 2.9563,                0.45499,                 0.5641,                0.51465,                0.20839,                 2.3743,                  2.385,                 3.0095,               0.000713,               0.000713,               0.000713
                     29,                 2.1854,                 2.1726,                 2.9306,                0.51242,                0.53846,                0.55588,                0.24478,                  2.245,                 2.2942,                 2.8943,              0.0006635,              0.0006635,              0.0006635
                     30,                  2.194,                 2.1593,                  2.879,                0.55776,                0.54701,                 0.5948,                0.26671,                  2.131,                 2.3034,                 2.7925,               0.000614,               0.000614,               0.000614
                     31,                  2.144,                 2.9347,                 2.8363,                0.53642,                0.64957,                0.61928,                0.27301,                 2.1002,                  2.296,                 2.7647,              0.0005645,              0.0005645,              0.0005645
